@relation _home_hfernandes_Development_git_hf-tese_weka

@attribute text string
@attribute @@class@@ {positive,negative,neutral}

@data
'Por isso Sócrates é bom para debater na Assembleia da Républica onde o tipo de debate o beneficia.',positive
'Foi o BE que considera que os trabalhadores fazem parte da equação de gestão de uma Empresa.',positive
'Vou votar no BE.',positive
'Ferreira Leite foi muito melhor .  . .',positive
'Jerónimo lembra e muito bem!',positive
'Apenas Sócrates leva a propaganda habitual.',positive
'Gostei imenso ,  principalmente da atitude de Manuela Ferreira Leite.',positive
'ah grande Louçã dá-lhes nesse neoliberais falsos amigos dos banqueiros ,  dos lobbies empresarias ,  dos ricos ,  vazios de carácter ,  de ética e de tudo e que se estão nas tintas p\'ra quem passa fome ,  p\'ra quem vai p\'ro desemprego ,  p\'ras pensões de miséria ,  o desejo deles é despedir os trabalhadores ,  (  que desperdício ter que lhes dar umas migalhas )  e substituí-los por robots ,  acreditem é gente desta estirpe ,  o empregador neoliberal português!',positive
'Para todos os efeitos quem ganhou com os debates foi ,  claramente ,  o Portas.',positive
'Ferreira Leite foi coerente ,  argumentou com elevado sentido de estado ,  soube ser flexível perante novas condições políticas e mostrou respeito pelas pessoas ,  sinceridade e determinação .  . .',positive
'Afinal o que o BE pretende é simplificar !  ! !',positive
'Eu não tenho a minima dúvida em dar continuidade a Sócrates.',positive
'Em termos de economia ,  fiscalidade ,  saude e educação ,  para não falar em segurança e agricultura ,  revejo-me mais no PP.',positive
'O Francisco Louçã é um intelectual de esquerda com grande curriculum e que tem à sua volta um grande movimento de jovens maioritariamente com formação Universitária.',positive
'Para que houvesse mais equilibrio seria melhor que o Bloco de Esquerda tivesse uma votação acima dos 13 \% para que as águas não fossem privatizadas e os preços dos combustivéis verdadeiramente regularizados.',positive
'3º Ganha o BE,o ideal.',positive
'Eu vou votar BE pois gostaria de vêr algo novo ,  ideias novas ,  talvez isto desemperre.',positive
'Eu voto BE para mudar Portugal.',positive
'Comungo da opinião de Ricardo Costa ,  hoje o debate foi ganho por Paulo Portas.',positive
'Acho que vai haver muitos Portugueses surpreendidos com a quantidade de pessoas que como eu consideram este PM o melhor desde o 25 de Abril e a melhor coisa que nos aconteceu e mesmo que não consiga ganhar as próximas eleições as reformas importantes estão umas feitas outras encaminhadas .  . .',positive
'Só da minha região são 7000 votos no BE ,  mais nada.',positive
'Socrates melhor preparado e quanto a políticas a sugestão das nacionalizações era uma idiotice!',positive
'Pois mas´o que é mesmo divertido é \"  pôr o Sócrates na rua ! !',positive
'O voto util é BE.',positive
'Sinto que só Sócrates conseguirá manter o rumo correcto para o país até 21/12/2012.',positive
'Pareceu-me que as propostas do BE seguem nessa direcção.',positive
'Louçã ganha em toda a linha.',positive
'Onde Portas teve razao foi quando diz que ha fraude sobre o RSI e penso que ai estigmatizou os ciganos e com razao.',positive
'Mais uma vez ontem Jerónimo de Sousa mostrou que ele é toda a história do PCP além de ser uma pessoa de uma honestidade e respeitabilidade acima de qualquer suspeita é um genuíno \"  comunista \"  na sua origem e na sua abordagem da política.',positive
'Concorde-se ou não Louçã propôs soluções diferentes das que tem sido adoptadas pelos socialistas neoliberais de direita deste governo.',positive
'Apesar da sua estratégia de análise do passado de Portas em vez da sua legislatura ,  perdeu-o.',positive
'Quanto a questões fiscais ,  o BE defende que a saúde e o ensino devem ser gratuitos e ,  sendo gratuitos ,  nada há a deduzir.',positive
'O Paulo Portas manteve-se calmo!',positive
